Rank,Player Name,Combined Rating,Seasons Played,S8 Rating,S11 Rating,S12 Rating,Consistency Bonus %,Division Avg Score,All Names Used
342,Shxdyeclipse | Twitch,42.82,S12,,,64.88,10,6.0,Shxdyeclipse | Twitch
343,iitzNthan on twitch,42.71,S12,,,61.90,15,8.0,iitzNthan on twitch
344,ꟻiꙅHiᴎɘꙅꙅ,42.43,S12+S8,96.00,,43.34,5,3.0,"FSC | Fishiness, ꟻiꙅHiᴎɘꙅꙅ"
345,triplcross,42.30,S12,,,64.10,10,5.0,triplcross
346,TGUN_Turtle,42.18,S12+S8,116.00,,37.95,5,4.0,TGUN_Turtle
347,Fuzegravity,42.16,S12,,,63.87,10,5.0,Fuzegravity
348,[DAD] Nars Lootbaar,42.01,S12+S8,196.00,,17.68,5,3.0,[DAD] Nars Lootbaar
349,I3otox_,41.97,S12+S8,184.00,,20.62,5,4.0,I3otox_
350,StingraySlapper,41.67,S12,,,66.14,5,4.0,StingraySlapper
351,ChristopherNacon,41.41,S12,,,65.74,5,4.0,ChristopherNacon
352,XZL Spetz,41.01,S12,,,50.63,35,10.0,XZL Spetz
353,Mereoleona<3,40.98,S12,,,65.05,5,4.0,Mereoleona<3
354,Sithopher,40.97,S12+S8,165.00,,23.78,5,3.0,Sithopher
355,Aluminum Grill,40.81,S12,,,64.78,5,4.0,Aluminum Grill
356,Pulsar,40.71,S12,,,61.69,10,5.0,Pulsar
357,options990,40.66,S12,,,61.60,10,6.0,options990
358,PRDX_Ayywire,40.50,S12+S8,156.00,,25.28,5,4.0,PRDX_Ayywire
359,MrrrAndersonnn,40.44,S12,,,61.28,10,6.0,MrrrAndersonnn
360,BGE-DocD,40.44,S12,,,61.28,10,6.0,BGE-DocD
361,Neaztry,40.12,S12,,,58.15,15,8.0,Neaztry
362,siyoshiwakona,40.04,S12,,,63.56,5,3.0,siyoshiwakona
363,Kbertabifida | TTV,40.01,S12+S8,97.00,,39.26,5,4.0,"Kbertabifida, Kbertabifida | TTV"
364,FSU_IamAtomicTV,39.75,S8,265.00,,,0,,FSU_IamAtomicTV
